sample	population	project	path
22020_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
22035_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
22041_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
22044_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23013_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23069_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23153_m_mystacinus	m_mystacinus	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23167_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23261_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23264_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23270_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23271_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23276_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
23281_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AM8331_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AM8333_m_davidii	m_davidii	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AM9765_m_mystacinus	m_mystacinus	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AU10223_m_mystacinus	m_mystacinus	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AU5450_m_mystacinus	m_mystacinus	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
AU5453_m_mystacinus	m_mystacinus	mysdav	/home/asgurkan/Documents/population_genomics/march_data/raw/mysdav_renamed.vcf
